"company","asin","product_name","brand","category","source_file"
"coway","B0078OMNN8","Cuckoo CRP-HS0657F 6 Cup Pressure Rice Cooker  110V  Black","CUCKOO","Kitchen & Dining","Catalyst Products Export - Wed May 27 2026 19_50_37 GMT+0900 (한국 표준시).csv"
"coway","B00CCVNX0O","CUCKOO Micom Rice Cooker 3 Cup Uncooked / 6 Cup Cooked  Korean Fuzzy Logic Rice Cooker Small with Delay Timer & Keep Warm Setting  Versatile Food Steamer with Non-Stick Inner Pot  Red (CR-0351F)","CUCKOO","Kitchen & Dining","Catalyst Products Export - Wed May 27 2026 19_50_37 GMT+0900 (한국 표준시).csv"
"coway","B00E4XYQNG","CUCKOO CRP-HY1083F | 10-Cup (Uncooked) Induction Heating Pressure Rice Cooker | 13 Menu Options  Auto-Clean  Voice Navigation  Stainless Steel Inner Pot  Made in Korea | Black","CUCKOO","Kitchen & Dining","Catalyst Products Export - Wed May 27 2026 19_50_37 GMT+0900 (한국 표준시).csv"
"coway","B00HUWBDHU","Cuckoo Pressure Cover Packing Replacement Ring | CCP-06 by Cuckoo","CUCKOO","Home & Kitchen","Catalyst Products Export - Wed May 27 2026 19_50_37 GMT+0900 (한국 표준시).csv"
"coway","B00NJ12KAU","CUCKOO High Pressure Rice Cooker 6-Cup Uncooked / 12-Cup Cooked with Induction Heating Technology  Versatile Rice Maker with 16 Menu Options and Steam Plate  Voice Guide  White (CRP-BHSS0609F)","CUCKOO","Kitchen & Dining","Catalyst Products Export - Wed May 27 2026 19_50_37 GMT+0900 (한국 표준시).csv"
"coway","B00NUB6ARI","CUCKOO High Pressure Rice Cooker 10-Cup Uncooked / 20-Cup Cooked with Induction Heating Technology  Large Rice Maker with 17 Menu Options and Steam Plate  Voice Guide  Silver (CRP-CHSS1009FN)","CUCKOO","Kitchen & Dining","Catalyst Products Export - Wed May 27 2026 19_50_37 GMT+0900 (한국 표준시).csv"
"coway","B00PGBUK0I","CUCKOO Replacement Dual Motion Rubber Packing for 10-Cup IH Cooker Models | CCP-DH10","CUCKOO","Home & Kitchen","Catalyst Products Export - Wed May 27 2026 19_50_37 GMT+0900 (한국 표준시).csv"
"coway","B00PGC9R42","CUCKOO Replacement Dual Motion Rubber Packing for 6-Cup IH Cooker Models | CCP-DH06","CUCKOO","Home & Kitchen","Catalyst Products Export - Wed May 27 2026 19_50_37 GMT+0900 (한국 표준시).csv"
"coway","B00U1XN4L8","CUCKOO Commercial Rice Cooker & Warmer  Extra Large Rice Cooker 30-Cup Uncooked / 60-Cup Cooked  Professional Industrial Grain Cooker with Large Capacity  Easy One-Touch Operation  Silver (CR-3032)","CUCKOO","Industrial & Scientific","Catalyst Products Export - Wed May 27 2026 19_50_37 GMT+0900 (한국 표준시).csv"
"coway","B00XQEM2BM","CUCKOO High Pressure Rice Cooker 10-Cup Uncooked / 20-Cup Cooked with Nonstick Inner Pot  Large Rice Maker with 13 Menu Options and Steam Plate  Fuzzy Logic Tech  Voice Guide  White (CRP-P1009SW)","CUCKOO","Kitchen & Dining","Catalyst Products Export - Wed May 27 2026 19_50_37 GMT+0900 (한국 표준시).csv"
